product,id
Multiplug,55
12 inch Fan,57
14 inch Fan,56
17 inch Fan,54
Mobile P16,58
Mobile H10,59
Mobile N5,60
Speaker,61
Light Bulb,62
Weight Scale,64
Ceiling Fan,65
Tornedo Fan,66
Stand Fan,67
Wall Move,68
Water Filter,69
Glyser,70
Gas Stove,71
Fry Pan,72
Oven,73
Ruti Tawa,74
Kettle,75
Iron,76
Induction Cooker,77
Infered Cooker,78
Multi Cooker,79
Pressure Cooker,80
Rice Cooker,81
Blender,82
Grinder,83
Washing Machine,84
Room Heater,85
Remote,86
24 inch LED,87
32 inch LED,88
40 inch LED,89
43 inch 4K,90
Stabilizer,91
Protector,92
3F5GDXX,10
3F5GDSH,11
3D8GDXX,93
3D8GDEL,21
3D8GDEH-DD,19
3D8GDEL (inv),24
3D8GDSH,107
3D8GD-DD,94
3E8GDXX,15
3J0RXXX,47
3J0GDEL,45
3J0GDEL DD,44
5F3GDEL-DD,95
5F3GDEL,96
Air Cooler,97
18 F AC,98
18 A AC,99
18 C AC,100
12 C AC,101
24 C AC,102
24 B AC,103
3B0GDEL,104
3B0GDXX (inv),105
3B0GDXX,106
3A7NXXX,108
3A7GDXX,109
3A2GDEN,110
3A2GDEL,111
3A2GDXX,112
3X9GDEL,113
3X9GDXX,114
3X7GDEL,115
3X7NEXX,116
2T5GDEL,34
2T5RRLX-GX,36
2T5RRLX-XX,35
2N5GDEL (Inv),117
2N5GDEL,118
2N5GDXX,119
2N5CRXX,120
2H2GDEL,121
2H2GDXX (Inv),122
2G0CGXX,123
2F0GDEL,27
2F0GDXX,25
2E5EHLX,40
2E5GDEL,43
2E4GDEH,124
2E4GDXX,125
2E0GDEL,126
2E0GDXX,127
2D4GDEL,128
2D4RXXX,129
2B6GDEL,130
2B6RXXX,131
2B3GDSH,132
2B3GDEL,133
2B3GDXX,134
2B0GDXX,135
2A8GDXX,136
2A7GDEL,137
2A3GDSH,138
2A3GDEH,139
2A3GDEL,140
2A3GDXX,141
2A3RLXX,142
2A3ELXX,143
1H5GDSH,144
1H5GDEL,145
1H5ELXX,146
1F3GDSH,147
1F3GDEH,148
1F3GDEL,149
1F3RXXX,150
1D5GDEL,30
1D5RXXX,31
1D4GDSH,151
1D4GDEH,152
1D4GDEL,153
1D4CRXX,154
1B6GDEH,155
1B6GDEL,156
1B6RXXX,157
1B3GDEL,158
1X1RXXX,159
