Date,Amount
15/4/2022,23300
16/4/2022,97850
17/4/2022,315950
18/4/2022,83850
19/4/2022,96450
20/4/2022,58900
21/4/2022,281300
22/4/2022,169900
23/4/2022,52800
24/4/2022,75250
25/4/2022,208600
26/4/2022,135350
27/4/2022,165550
28/4/2022,207650
29/4/2022,289500
30/4/2022,182450
1/5/2022,365000
2/5/2022,367440
3/5/2022,10000
4/5/2022,144250
5/5/2022,234100
6/5/2022,149900
7/5/2022,313200
8/5/2022,236800
9/5/2022,165750
10/5/2022,99050
11/5/2022,144600
12/5/2022,206000
13/5/2022,0
14/5/2022,138950
15/5/2022,49700
16/5/2022,202750
17/5/2022,137600
18/5/2022,120800
19/5/2022,69700
20/5/2022,0
21/5/2022,179600
22/5/2022,97050
23/5/2022,267500
24/5/2022,113800
25/5/2022,168580
26/5/2022,170450
27/5/2022,0
28/5/2022,259000
29/5/2022,35550
30/5/2022,191700
31/5/2022,170400
1/6/2022,112000
2/6/2022,134400
3/6/2022,0
4/6/2022,50500
5/6/2022,185000
6/6/2022,75150
7/6/2022,39600
8/6/2022,360500
9/6/2022,179950
10/6/2022,0
11/6/2022,500800
12/6/2022,184500
13/6/2022,107300
14/6/2022,119300
15/6/2022,147300
16/6/2022,181790
17/6/2022,0
18/6/2022,22450
19/6/2022,190700
20/6/2022,171000
21/6/2022,103600
22/6/2022,155700
23/6/2022,329900
24/6/2022,75500
25/6/2022,153700
26/6/2022,351000
27/6/2022,360100
28/6/2022,811900
29/6/2022,257000
30/6/2022,307850
1/7/2022,19000
2/7/2022,370840
3/7/2022,876400
4/7/2022,647600
5/7/2022,459300
6/7/2022,599950
7/7/2022,787700
8/7/2022,972350
9/7/2022,894400
10/7/2022,91000
11/7/2022,311450
12/7/2022,558175
13/7/2022,402500
14/7/2022,345600
15/7/2022,160750
16/7/2022,270800
17/7/2022,341300
18/7/2022,365300
19/7/2022,188500
20/7/2022,194700
21/7/2022,365900
22/7/2022,0
23/7/2022,474100
24/7/2022,154050
25/7/2022,210300
26/7/2022,94200
27/7/2022,138850
28/7/2022,79900
29/7/2022,0
30/7/2022,188700
31/7/2022,711800
1/8/2022,175290
2/8/2022,144600
3/8/2022,65150
4/8/2022,239900
5/8/2022,55700
6/8/2022,147050
7/8/2022,194600
8/8/2022,159000
9/8/2022,111000
10/8/2022,198100
11/8/2022,182850
12/8/2022,0
13/8/2022,73700
14/8/2022,230100
15/8/2022,110300
16/8/2022,160750
17/8/2022,205300
18/8/2022,119400
19/8/2022,0
20/8/2022,110300
21/8/2022,100300
22/8/2022,114750
23/8/2022,192750
24/8/2022,144800
25/8/2022,211500
26/8/2022,0
27/8/2022,251150
28/8/2022,135600
29/8/2022,79400
30/8/2022,287800
31/8/2022,262900
1/9/2022,181300
2/9/2022,0
3/9/2022,229900
4/9/2022,76050
5/9/2022,114900
6/9/2022,84050
7/9/2022,175912
8/9/2022,208500
9/9/2022,0
10/9/2022,171065
11/9/2022,56100
12/9/2022,65240
13/9/2022,168250
14/9/2022,90800
15/9/2022,269700
16/9/2022,0
17/9/2022,102700
18/9/2022,150000
19/9/2022,169900
20/9/2022,118200
21/9/2022,93500
22/9/2022,309200
23/9/2022,69200
24/9/2022,95000
25/9/2022,26950
26/9/2022,161300
27/9/2022,130750
28/9/2022,91450
29/9/2022,359700
30/9/2022,29700
1/10/2022,95900
2/10/2022,132300
3/10/2022,68100
4/10/2022,42300
5/10/2022,76000
6/10/2022,197700
7/10/2022,13000
8/10/2022,124300
9/10/2022,59300
10/10/2022,53500
11/10/2022,209050
12/10/2022,148200
13/10/2022,107800
14/10/2022,0
15/10/2022,118000
16/10/2022,66900
17/10/2022,393600
18/10/2022,79850
19/10/2022,115950
20/10/2022,135870
21/10/2022,0
22/10/2022,133800
23/10/2022,49000
24/10/2022,7700
25/10/2022,160000
26/10/2022,71880
27/10/2022,97700
28/10/2022,0
29/10/2022,121150
30/10/2022,81400
31/10/2022,41900
1/11/2022,83150
2/11/2022,169000
3/11/2022,81890
4/11/2022,0
5/11/2022,41800
6/11/2022,100300
7/11/2022,49000
8/11/2022,131400
9/11/2022,43400
10/11/2022,91650
11/11/2022,0
12/11/2022,130850
13/11/2022,152800
14/11/2022,150900
15/11/2022,113000
16/11/2022,79500
17/11/2022,210000
18/11/2022,0
19/11/2022,120000
20/11/2022,96400
21/11/2022,187600
22/11/2022,116100
23/11/2022,72000
24/11/2022,270150
25/11/2022,0
26/11/2022,108450
27/11/2022,84300
28/11/2022,111800
29/11/2022,116500
30/11/2022,480250
1/12/2022,131290
2/12/2022,0
3/12/2022,198300
4/12/2022,118120
5/12/2022,103400
6/12/2022,73400
7/12/2022,77900
8/12/2022,137300
9/12/2022,165700
10/12/2022,0
11/12/2022,292000
12/12/2022,127250
13/12/2022,124100
14/12/2022,18800
15/12/2022,22400
16/12/2022,0
17/12/2022,54500
18/12/2022,90500
19/12/2022,91250
20/12/2022,32350
21/12/2022,55200
22/12/2022,112260
23/12/2022,0
24/12/2022,137000
25/12/2022,46550
26/12/2022,58150
27/12/2022,63050
28/12/2022,38700
29/12/2022,369550
30/12/2022,0
31/12/2022,73150
1/1/2023,64800
2/1/2023,86880
3/1/2023,58000
4/1/2023,144200
5/1/2023,53550
6/1/2023,0
