product,id,price
Multiplug,55,845
12 inch Fan,57,3990
14 inch Fan,56,4490
17 inch Fan,54,6290
Mobile P16,58,1050
Mobile H10,59,14999
Mobile N5,60,9523
Speaker,61,5850
Light Bulb,62,430
Weight Scale,64,1200
Ceiling Fan,65,4390
Tornedo Fan,66,1090
Stand Fan,67,7990
Wall Move,68,3130
Water Filter,69,3900
Glyser,70,9290
Gas Stove,71,4090
Fry Pan,72,1190
Oven,73,7750
Ruti Tawa,74,850
Kettle,75,1050
Iron,76,1220
Induction Cooker,77,4590
Infered Cooker,78,5590
Multi Cooker,79,3990
Pressure Cooker,80,1590
Rice Cooker,81,2790
Blender,82,2290
Grinder,83,5490
Washing Machine,84,19900
Room Heater,85,2680
Remote,86,500
24 inch LED,87,16900
32 inch LED,88,19900
40 inch LED,89,26900
43 inch 4K,90,33990
Stabilizer,91,4700
Protector,92,1200
3F5GDXX,10,52390
3F5GDSH,11,56290
3D8GDXX,93,49390
3D8GDEL,21,50390
3D8GDEH-DD,19,53890
3D8GDEL (inv),24,51390
3D8GDSH,107,51890
3D8GD-DD,94,50390
3E8GDXX,15,51290
3J0RXXX,47,43690
3J0GDEL,45,43690
3J0GDEL DD,44,44690
5F3GDEL-DD,95,98990
5F3GDEL,96,93490
Air Cooler,97,9850
18 F AC,98,73490
18 A AC,99,49900
18 C AC,100,108500
12 C AC,101,67300
24 C AC,102,88000
24 B AC,103,76500
3B0GDEL,104,48690
3B0GDXX (inv),105,48690
3B0GDXX,106,48190
3A7NXXX,108,47090
3A7GDXX,109,46590
3A2GDEN,110,49590
3A2GDEL,111,46690
3A2GDXX,112,46190
3X9GDEL,113,47690
3X9GDXX,114,47190
3X7GDEL,115,46690
3X7NEXX,116,50090
2T5GDEL,34,36390
2T5RRLX-GX,36,35890
2T5RRLX-XX,35,35390
2N5GDEL (Inv),117,46290
2N5GDEL,118,44790
2N5GDXX,119,44290
2N5CRXX,120,45290
2H2GDEL,121,42990
2H2GDXX (Inv),122,43990
2G0CGXX,123,53990
2F0GDEL,27,48990
2F0GDXX,25,58990
2E5EHLX,40,39890
2E5GDEL,43,41890
2E4GDEH,124,44490
2E4GDXX,125,43190
2E0GDEL,126,41790
2E0GDXX,127,41290
2D4GDEL,128,39890
2D4RXXX,129,40390
2B6GDEL,130,41490
2B6RXXX,131,43390
2B3GDSH,132,39290
2B3GDEL,133,38790
2B3GDXX,134,38490
2B0GDXX,135,35990
2A8GDXX,136,39790
2A7GDEL,137,40790
2A3GDSH,138,36890
2A3GDEH,139,36690
2A3GDEL,140,35890
2A3GDXX,141,35190
2A3RLXX,142,37790
2A3ELXX,143,40390
1H5GDSH,144,37690
1H5GDEL,145,37390
1H5ELXX,146,35190
1F3GDSH,147,33590
1F3GDEH,148,33690
1F3GDEL,149,33090
1F3RXXX,150,31690
1D5GDEL,30,30690
1D5RXXX,31,29390
1D4GDSH,151,29990
1D4GDEH,152,30190
1D4GDEL,153,29790
1D4CRXX,154,41390
1B6GDEH,155,27990
1B6GDEL,156,27490
1B6RXXX,157,26290
1B3GDEL,158,27990
1X1RXXX,159,17990
